"","seqnames","start","end","width","strand","score","pct_cons","normal","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_366","chr1",912500,922500,10001,"*",132,52.3809523809524,3.95854302106304,"window_366","100130417",916870,919692,2823,"-",0,"includeFeature",0,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_366.1","chr1",912500,922500,10001,"*",132,52.3809523809524,3.95854302106304,"window_366","148398",923928,944581,20654,"+",1427,"upstream",1427,"SAMD11","sterile alpha motif domain containing 11"
"window_367","chr1",915000,925000,10001,"*",131,51.984126984127,3.95093842167782,"window_367","100130417",916870,919692,2823,"-",0,"includeFeature",0,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_367.1","chr1",915000,925000,10001,"*",131,51.984126984127,3.95093842167782,"window_367","148398",923928,944581,20654,"+",0,"overlapStart",0,"SAMD11","sterile alpha motif domain containing 11"
"window_368","chr1",917500,927500,10001,"*",131,51.984126984127,3.95093842167782,"window_368","100130417",916870,919692,2823,"-",0,"overlapStart",0,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_368.1","chr1",917500,927500,10001,"*",131,51.984126984127,3.95093842167782,"window_368","148398",923928,944581,20654,"+",0,"overlapStart",0,"SAMD11","sterile alpha motif domain containing 11"
"window_369","chr1",920000,930000,10001,"*",130,51.5873015873016,3.94327554893225,"window_369","100130417",916870,919692,2823,"-",307,"upstream",307,"LINC02593","long intergenic non-protein coding RNA 2593"
"window_369.1","chr1",920000,930000,10001,"*",130,51.5873015873016,3.94327554893225,"window_369","148398",923928,944581,20654,"+",0,"overlapStart",0,"SAMD11","sterile alpha motif domain containing 11"
"window_430","chr1",1072500,1082500,10001,"*",127,50.3968253968254,3.91992818493526,"window_430","401934",1070967,1074306,3340,"-",0,"overlapStart",0,"RNF223","ring finger protein 223"
"window_431","chr1",1075000,1085000,10001,"*",128,50.7936507936508,3.92777136239629,"window_431","401934",1070967,1074306,3340,"-",693,"upstream",693,"RNF223","ring finger protein 223"
"window_492","chr1",1227500,1237500,10001,"*",129,51.1904761904762,3.93555350283834,"window_492","51150",1216908,1232067,15160,"-",0,"overlapStart",0,"SDF4","stromal cell derived factor 4"
"window_492.1","chr1",1227500,1237500,10001,"*",129,51.1904761904762,3.93555350283834,"window_492","126792",1232237,1235041,2805,"+",0,"includeFeature",0,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_493","chr1",1230000,1240000,10001,"*",137,54.3650793650794,3.99572202430479,"window_493","51150",1216908,1232067,15160,"-",0,"overlapStart",0,"SDF4","stromal cell derived factor 4"
"window_493.1","chr1",1230000,1240000,10001,"*",137,54.3650793650794,3.99572202430479,"window_493","126792",1232237,1235041,2805,"+",0,"includeFeature",0,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_494","chr1",1232500,1242500,10001,"*",133,52.7777777777778,3.96609022669842,"window_494","51150",1216908,1232067,15160,"-",432,"upstream",432,"SDF4","stromal cell derived factor 4"
"window_494.1","chr1",1232500,1242500,10001,"*",133,52.7777777777778,3.96609022669842,"window_494","126792",1232237,1235041,2805,"+",0,"overlapEnd",262,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_495","chr1",1235000,1245000,10001,"*",133,52.7777777777778,3.96609022669842,"window_495","51150",1216908,1232067,15160,"-",2932,"upstream",2932,"SDF4","stromal cell derived factor 4"
"window_495.1","chr1",1235000,1245000,10001,"*",133,52.7777777777778,3.96609022669842,"window_495","126792",1232237,1235041,2805,"+",0,"overlapEnd",2762,"B3GALT6","beta-1,3-galactosyltransferase 6"
"window_495.2","chr1",1235000,1245000,10001,"*",133,52.7777777777778,3.96609022669842,"window_495","388581",1242446,1246722,4277,"-",0,"overlapEnd",1721,"C1QTNF12","C1q and TNF related 12"
"window_496","chr1",1237500,1247500,10001,"*",131,51.984126984127,3.95093842167782,"window_496","388581",1242446,1246722,4277,"-",0,"includeFeature",0,"C1QTNF12","C1q and TNF related 12"
"window_518","chr1",1292500,1302500,10001,"*",129,51.1904761904762,3.93555350283834,"window_518","102465434",1296110,1296170,61,"-",0,"includeFeature",0,"MIR6726","microRNA 6726"
"window_519","chr1",1295000,1305000,10001,"*",134,53.1746031746032,3.97358089842758,"window_519","102465434",1296110,1296170,61,"-",0,"includeFeature",0,"MIR6726","microRNA 6726"
"window_520","chr1",1297500,1307500,10001,"*",133,52.7777777777778,3.96609022669842,"window_520","102465434",1296110,1296170,61,"-",1329,"upstream",1329,"MIR6726","microRNA 6726"
"window_520.1","chr1",1297500,1307500,10001,"*",133,52.7777777777778,3.96609022669842,"window_520","126789",1308597,1311677,3081,"+",1096,"upstream",1096,"PUSL1","pseudouridine synthase like 1"
"window_520.2","chr1",1297500,1307500,10001,"*",133,52.7777777777778,3.96609022669842,"window_520","116983",1292390,1309609,17220,"-",0,"inside",2108,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_522","chr1",1302500,1312500,10001,"*",150,59.5238095238095,4.08637639257292,"window_522","126789",1308597,1311677,3081,"+",0,"includeFeature",0,"PUSL1","pseudouridine synthase like 1"
"window_522.1","chr1",1302500,1312500,10001,"*",150,59.5238095238095,4.08637639257292,"window_522","116983",1292390,1309609,17220,"-",0,"overlapStart",0,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_527","chr1",1315000,1325000,10001,"*",149,59.1269841269841,4.07968740442213,"window_527","102465435",1312502,1312566,65,"-",2433,"upstream",2433,"MIR6727","microRNA 6727"
"window_527.1","chr1",1315000,1325000,10001,"*",149,59.1269841269841,4.07968740442213,"window_527","54973",1311585,1324691,13107,"-",0,"overlapStart",0,"INTS11","integrator complex subunit 11"
"window_527.2","chr1",1315000,1325000,10001,"*",149,59.1269841269841,4.07968740442213,"window_527","80772",1324756,1328896,4141,"+",0,"overlapStart",0,"CPTP","ceramide-1-phosphate transfer protein"
"window_528","chr1",1317500,1327500,10001,"*",142,56.3492063492063,4.03156815607793,"window_528","54973",1311585,1324691,13107,"-",0,"overlapStart",0,"INTS11","integrator complex subunit 11"
"window_528.1","chr1",1317500,1327500,10001,"*",142,56.3492063492063,4.03156815607793,"window_528","80772",1324756,1328896,4141,"+",0,"overlapStart",0,"CPTP","ceramide-1-phosphate transfer protein"
"window_536","chr1",1337500,1347500,10001,"*",150,59.5238095238095,4.08637639257292,"window_536","102466740",1339650,1339708,59,"-",0,"includeFeature",0,"MIR6808","microRNA 6808"
"window_536.1","chr1",1337500,1347500,10001,"*",150,59.5238095238095,4.08637639257292,"window_536","1855",1335276,1349418,14143,"-",0,"inside",1917,"DVL1","dishevelled segment polarity protein 1"
"window_537","chr1",1340000,1350000,10001,"*",145,57.5396825396825,4.05247484089724,"window_537","102466740",1339650,1339708,59,"-",291,"upstream",291,"MIR6808","microRNA 6808"
"window_537.1","chr1",1340000,1350000,10001,"*",145,57.5396825396825,4.05247484089724,"window_537","1855",1335276,1349418,14143,"-",0,"overlapStart",0,"DVL1","dishevelled segment polarity protein 1"
"window_543","chr1",1355000,1365000,10001,"*",145,57.5396825396825,4.05247484089724,"window_543","54587",1352689,1361777,9089,"-",0,"overlapStart",0,"MXRA8","matrix remodeling associated 8"
"window_544","chr1",1357500,1367500,10001,"*",137,54.3650793650794,3.99572202430479,"window_544","54587",1352689,1361777,9089,"-",0,"overlapStart",0,"MXRA8","matrix remodeling associated 8"
