"","seqnames","start","end","width","strand","score","pct_cons","normal","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_506","chr1",1262500,1272500,10001,"*",158,62.6984126984127,4.13833613150363,"window_506","118424",1253909,1273885,19977,"-",0,"inside",1384,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
"window_507","chr1",1265000,1275000,10001,"*",160,63.4920634920635,4.1509149137105,"window_507","118424",1253909,1273885,19977,"-",0,"overlapStart",0,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
"window_508","chr1",1267500,1277500,10001,"*",158,62.6984126984127,4.13833613150363,"window_508","118424",1253909,1273885,19977,"-",0,"overlapStart",0,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
"window_508.1","chr1",1267500,1277500,10001,"*",158,62.6984126984127,4.13833613150363,"window_508","6339",1280436,1292029,11594,"+",2935,"upstream",2935,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_509","chr1",1270000,1280000,10001,"*",152,60.3174603174603,4.09962161932294,"window_509","118424",1253909,1273885,19977,"-",0,"overlapStart",0,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
"window_509.1","chr1",1270000,1280000,10001,"*",152,60.3174603174603,4.09962161932294,"window_509","6339",1280436,1292029,11594,"+",435,"upstream",435,"SCNN1D","sodium channel epithelial 1 subunit delta"
"window_521","chr1",1300000,1310000,10001,"*",152,60.3174603174603,4.09962161932294,"window_521","126789",1308597,1311677,3081,"+",0,"overlapStart",0,"PUSL1","pseudouridine synthase like 1"
"window_521.1","chr1",1300000,1310000,10001,"*",152,60.3174603174603,4.09962161932294,"window_521","116983",1292390,1309609,17220,"-",0,"overlapStart",0,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_523","chr1",1305000,1315000,10001,"*",153,60.7142857142857,4.1061790198691,"window_523","126789",1308597,1311677,3081,"+",0,"includeFeature",0,"PUSL1","pseudouridine synthase like 1"
"window_523.1","chr1",1305000,1315000,10001,"*",153,60.7142857142857,4.1061790198691,"window_523","116983",1292390,1309609,17220,"-",0,"overlapStart",0,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_523.2","chr1",1305000,1315000,10001,"*",153,60.7142857142857,4.1061790198691,"window_523","102465435",1312502,1312566,65,"-",0,"includeFeature",0,"MIR6727","microRNA 6727"
"window_524","chr1",1307500,1317500,10001,"*",156,61.9047619047619,4.12559710572621,"window_524","126789",1308597,1311677,3081,"+",0,"includeFeature",0,"PUSL1","pseudouridine synthase like 1"
"window_524.1","chr1",1307500,1317500,10001,"*",156,61.9047619047619,4.12559710572621,"window_524","116983",1292390,1309609,17220,"-",0,"overlapStart",0,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_524.2","chr1",1307500,1317500,10001,"*",156,61.9047619047619,4.12559710572621,"window_524","102465435",1312502,1312566,65,"-",0,"includeFeature",0,"MIR6727","microRNA 6727"
"window_525","chr1",1310000,1320000,10001,"*",154,61.1111111111111,4.1126937008903,"window_525","126789",1308597,1311677,3081,"+",0,"overlapEnd",1402,"PUSL1","pseudouridine synthase like 1"
"window_525.1","chr1",1310000,1320000,10001,"*",154,61.1111111111111,4.1126937008903,"window_525","116983",1292390,1309609,17220,"-",390,"upstream",390,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_525.2","chr1",1310000,1320000,10001,"*",154,61.1111111111111,4.1126937008903,"window_525","102465435",1312502,1312566,65,"-",0,"includeFeature",0,"MIR6727","microRNA 6727"
"window_526","chr1",1312500,1322500,10001,"*",152,60.3174603174603,4.09962161932294,"window_526","116983",1292390,1309609,17220,"-",2890,"upstream",2890,"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"window_526.1","chr1",1312500,1322500,10001,"*",152,60.3174603174603,4.09962161932294,"window_526","102465435",1312502,1312566,65,"-",0,"includeFeature",0,"MIR6727","microRNA 6727"
"window_526.2","chr1",1312500,1322500,10001,"*",152,60.3174603174603,4.09962161932294,"window_526","54973",1311585,1324691,13107,"-",0,"inside",2190,"INTS11","integrator complex subunit 11"
"window_526.3","chr1",1312500,1322500,10001,"*",152,60.3174603174603,4.09962161932294,"window_526","80772",1324756,1328896,4141,"+",2255,"upstream",2255,"CPTP","ceramide-1-phosphate transfer protein"
"window_529","chr1",1320000,1330000,10001,"*",155,61.5079365079365,4.11916621539592,"window_529","54973",1311585,1324691,13107,"-",0,"overlapStart",0,"INTS11","integrator complex subunit 11"
"window_529.1","chr1",1320000,1330000,10001,"*",155,61.5079365079365,4.11916621539592,"window_529","80772",1324756,1328896,4141,"+",0,"includeFeature",0,"CPTP","ceramide-1-phosphate transfer protein"
"window_529.2","chr1",1320000,1330000,10001,"*",155,61.5079365079365,4.11916621539592,"window_529","83756",1331280,1335314,4035,"+",1279,"upstream",1279,"TAS1R3","taste 1 receptor member 3"
"window_530","chr1",1322500,1332500,10001,"*",156,61.9047619047619,4.12559710572621,"window_530","54973",1311585,1324691,13107,"-",0,"overlapStart",0,"INTS11","integrator complex subunit 11"
"window_530.1","chr1",1322500,1332500,10001,"*",156,61.9047619047619,4.12559710572621,"window_530","80772",1324756,1328896,4141,"+",0,"includeFeature",0,"CPTP","ceramide-1-phosphate transfer protein"
"window_530.2","chr1",1322500,1332500,10001,"*",156,61.9047619047619,4.12559710572621,"window_530","83756",1331280,1335314,4035,"+",0,"overlapStart",0,"TAS1R3","taste 1 receptor member 3"
"window_531","chr1",1325000,1335000,10001,"*",168,66.6666666666667,4.19970507787993,"window_531","54973",1311585,1324691,13107,"-",308,"upstream",308,"INTS11","integrator complex subunit 11"
"window_531.1","chr1",1325000,1335000,10001,"*",168,66.6666666666667,4.19970507787993,"window_531","80772",1324756,1328896,4141,"+",0,"overlapEnd",243,"CPTP","ceramide-1-phosphate transfer protein"
"window_531.2","chr1",1325000,1335000,10001,"*",168,66.6666666666667,4.19970507787993,"window_531","83756",1331280,1335314,4035,"+",0,"overlapStart",0,"TAS1R3","taste 1 receptor member 3"
"window_532","chr1",1327500,1337500,10001,"*",161,63.8888888888889,4.15714546346113,"window_532","54973",1311585,1324691,13107,"-",2808,"upstream",2808,"INTS11","integrator complex subunit 11"
"window_532.1","chr1",1327500,1337500,10001,"*",161,63.8888888888889,4.15714546346113,"window_532","80772",1324756,1328896,4141,"+",0,"overlapEnd",2743,"CPTP","ceramide-1-phosphate transfer protein"
"window_532.2","chr1",1327500,1337500,10001,"*",161,63.8888888888889,4.15714546346113,"window_532","83756",1331280,1335314,4035,"+",0,"includeFeature",0,"TAS1R3","taste 1 receptor member 3"
"window_533","chr1",1330000,1340000,10001,"*",159,63.0952380952381,4.1446453006969,"window_533","83756",1331280,1335314,4035,"+",0,"includeFeature",0,"TAS1R3","taste 1 receptor member 3"
"window_533.1","chr1",1330000,1340000,10001,"*",159,63.0952380952381,4.1446453006969,"window_533","102466740",1339650,1339708,59,"-",0,"includeFeature",0,"MIR6808","microRNA 6808"
"window_534","chr1",1332500,1342500,10001,"*",159,63.0952380952381,4.1446453006969,"window_534","83756",1331280,1335314,4035,"+",0,"overlapEnd",1219,"TAS1R3","taste 1 receptor member 3"
"window_534.1","chr1",1332500,1342500,10001,"*",159,63.0952380952381,4.1446453006969,"window_534","102466740",1339650,1339708,59,"-",0,"includeFeature",0,"MIR6808","microRNA 6808"
"window_535","chr1",1335000,1345000,10001,"*",162,64.2857142857143,4.16333743370905,"window_535","102466740",1339650,1339708,59,"-",0,"includeFeature",0,"MIR6808","microRNA 6808"
