"","seqnames","start","end","width","strand","score","pct_cons","peak","feature","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","symbol","genename"
"window_251","chr1",625000,635000,10001,"*",58,23.015873015873,"window_251","101928626",594191,633129,38939,"-",0,"overlapStart",0,"LOC101928626","uncharacterized LOC101928626"
"window_252","chr1",627500,637500,10001,"*",58,23.015873015873,"window_252","101928626",594191,633129,38939,"-",0,"overlapStart",0,"LOC101928626","uncharacterized LOC101928626"
"window_253","chr1",630000,640000,10001,"*",58,23.015873015873,"window_253","101928626",594191,633129,38939,"-",0,"overlapStart",0,"LOC101928626","uncharacterized LOC101928626"
"window_254","chr1",632500,642500,10001,"*",57,22.6190476190476,"window_254","101928626",594191,633129,38939,"-",0,"overlapStart",0,"LOC101928626","uncharacterized LOC101928626"
"window_330","chr1",822500,832500,10001,"*",65,25.7936507936508,"window_330","643837",825138,859446,34309,"+",0,"overlapStart",0,"LINC01128","long intergenic non-protein coding RNA 1128"
"window_330.1","chr1",822500,832500,10001,"*",65,25.7936507936508,"window_330","79854",826206,827522,1317,"-",0,"includeFeature",0,"LINC00115","long intergenic non-protein coding RNA 115"
"window_420","chr1",1047500,1057500,10001,"*",74,29.3650793650794,"window_420","100288175",1059708,1069355,9648,"+",2207,"upstream",2207,"LOC100288175","uncharacterized LOC100288175"
"window_443","chr1",1105000,1115000,10001,"*",51,20.2380952380952,"window_443","54991",1081818,1116361,34544,"-",0,"inside",1360,"C1orf159","chromosome 1 open reading frame 159"
"window_444","chr1",1107500,1117500,10001,"*",70,27.7777777777778,"window_444","54991",1081818,1116361,34544,"-",0,"overlapStart",0,"C1orf159","chromosome 1 open reading frame 159"
"window_445","chr1",1110000,1120000,10001,"*",73,28.968253968254,"window_445","54991",1081818,1116361,34544,"-",0,"overlapStart",0,"C1orf159","chromosome 1 open reading frame 159"
"window_446","chr1",1112500,1122500,10001,"*",74,29.3650793650794,"window_446","54991",1081818,1116361,34544,"-",0,"overlapStart",0,"C1orf159","chromosome 1 open reading frame 159"
"window_447","chr1",1115000,1125000,10001,"*",65,25.7936507936508,"window_447","54991",1081818,1116361,34544,"-",0,"overlapStart",0,"C1orf159","chromosome 1 open reading frame 159"
"window_466","chr1",1162500,1172500,10001,"*",52,20.6349206349206,"window_466","406984",1167104,1167198,95,"+",0,"includeFeature",0,"MIR200B","microRNA 200b"
"window_466.1","chr1",1162500,1172500,10001,"*",52,20.6349206349206,"window_466","406983",1167863,1167952,90,"+",0,"includeFeature",0,"MIR200A","microRNA 200a"
"window_466.2","chr1",1162500,1172500,10001,"*",52,20.6349206349206,"window_466","554210",1169005,1169087,83,"+",0,"includeFeature",0,"MIR429","microRNA 429"
"window_466.3","chr1",1162500,1172500,10001,"*",52,20.6349206349206,"window_466","254173",1173884,1197935,24052,"+",1383,"upstream",1383,"TTLL10","tubulin tyrosine ligase like 10"
"window_467","chr1",1165000,1175000,10001,"*",52,20.6349206349206,"window_467","406984",1167104,1167198,95,"+",0,"includeFeature",0,"MIR200B","microRNA 200b"
"window_467.1","chr1",1165000,1175000,10001,"*",52,20.6349206349206,"window_467","406983",1167863,1167952,90,"+",0,"includeFeature",0,"MIR200A","microRNA 200a"
"window_467.2","chr1",1165000,1175000,10001,"*",52,20.6349206349206,"window_467","554210",1169005,1169087,83,"+",0,"includeFeature",0,"MIR429","microRNA 429"
"window_467.3","chr1",1165000,1175000,10001,"*",52,20.6349206349206,"window_467","254173",1173884,1197935,24052,"+",0,"overlapStart",0,"TTLL10","tubulin tyrosine ligase like 10"
"window_468","chr1",1167500,1177500,10001,"*",55,21.8253968253968,"window_468","406983",1167863,1167952,90,"+",0,"includeFeature",0,"MIR200A","microRNA 200a"
"window_468.1","chr1",1167500,1177500,10001,"*",55,21.8253968253968,"window_468","554210",1169005,1169087,83,"+",0,"includeFeature",0,"MIR429","microRNA 429"
"window_468.2","chr1",1167500,1177500,10001,"*",55,21.8253968253968,"window_468","254173",1173884,1197935,24052,"+",0,"overlapStart",0,"TTLL10","tubulin tyrosine ligase like 10"
"window_469","chr1",1170000,1180000,10001,"*",55,21.8253968253968,"window_469","254173",1173884,1197935,24052,"+",0,"overlapStart",0,"TTLL10","tubulin tyrosine ligase like 10"
"window_479","chr1",1195000,1205000,10001,"*",52,20.6349206349206,"window_479","8784",1203508,1206592,3085,"-",0,"overlapEnd",1591,"TNFRSF18","TNF receptor superfamily member 18"
"window_480","chr1",1197500,1207500,10001,"*",55,21.8253968253968,"window_480","8784",1203508,1206592,3085,"-",0,"includeFeature",0,"TNFRSF18","TNF receptor superfamily member 18"
"window_481","chr1",1200000,1210000,10001,"*",69,27.3809523809524,"window_481","8784",1203508,1206592,3085,"-",0,"includeFeature",0,"TNFRSF18","TNF receptor superfamily member 18"
"window_482","chr1",1202500,1212500,10001,"*",72,28.5714285714286,"window_482","8784",1203508,1206592,3085,"-",0,"includeFeature",0,"TNFRSF18","TNF receptor superfamily member 18"
